code,status,name,periodicidad,n,bloque_sondeo
95039,ok,Vehículos,NA,3,IMAE-CIIU
95040,http_400,NA,NA,0,IMAE-CIIU
95041,ok,Resto de actividades comerciales,NA,3,IMAE-CIIU
95042,ok,Aparatos eléctricos y del hogar,NA,3,IMAE-CIIU
95043,ok,"Transporte, almacenamiento. Nivel",NA,3,IMAE-CIIU
95044,ok,Activ alojamiento y serv de comida. Nivel,NA,3,IMAE-CIIU
95045,ok,Información y comunicaciones. Nivel,NA,3,IMAE-CIIU
95046,ok,Actividades financieras y de seguros. Nivel,NA,3,IMAE-CIIU
95047,ok,Actividades inmobiliarias. Nivel,NA,3,IMAE-CIIU
95048,ok,"Profes, cient, téc, admin y serv apoyo. Nivel",NA,3,IMAE-CIIU
95049,ok,Adm. pública y planes seguridad social. Nivel,NA,3,IMAE-CIIU
95050,ok,Enseñanza y activ. de la salud humana. Nivel,NA,3,IMAE-CIIU
95051,ok,Otras actividades. Nivel,NA,3,IMAE-CIIU
95052,http_400,NA,NA,0,IMAE-CIIU
95053,http_400,NA,NA,0,IMAE-CIIU
95054,http_400,NA,NA,0,IMAE-CIIU
95055,http_400,NA,NA,0,IMAE-CIIU
95056,ok,Nivel,NA,3,IMAE-CIIU
95057,http_400,NA,NA,0,IMAE-CIIU
95058,ok,Nivel,NA,3,IMAE-CIIU
95059,http_400,NA,NA,0,IMAE-CIIU
95060,http_400,NA,NA,0,IMAE-CIIU
95061,ok,Variación de los últimos 12 meses,NA,3,IMAE-CIIU
95062,ok,IMAE. Variación media,NA,3,IMAE-CIIU
95063,ok,"Agricultura, silvicultura y pesca. Variación media",NA,3,IMAE-CIIU
95064,ok,Extracción de minas y canteras. Variación media,NA,3,IMAE-CIIU
95065,ok,Industria manufacturera. Variación media,NA,3,IMAE-CIIU
95066,http_400,NA,NA,0,IMAE-CIIU
