code,status,name,periodicidad,n
4813,http_400,NA,NA,0
4815,http_400,NA,NA,0
4816,http_400,NA,NA,0
4817,http_400,NA,NA,0
4818,http_400,NA,NA,0
4819,http_400,NA,NA,0
4820,http_400,NA,NA,0
4821,http_400,NA,NA,0
4822,http_400,NA,NA,0
4823,http_400,NA,NA,0
4824,no_data,NA,NA,0
4825,http_400,NA,NA,0
4826,http_400,NA,NA,0
4827,http_400,NA,NA,0
4828,no_data,NA,NA,0
4829,http_400,NA,NA,0
4830,http_400,NA,NA,0
4831,no_data,NA,NA,0
4832,http_400,NA,NA,0
4833,http_400,NA,NA,0
4834,no_data,NA,NA,0
4835,http_400,NA,NA,0
4836,http_400,NA,NA,0
4837,no_data,NA,NA,0
4838,http_400,NA,NA,0
4839,http_400,NA,NA,0
4840,no_data,NA,NA,0
4841,http_400,NA,NA,0
4842,http_400,NA,NA,0
4843,http_400,NA,NA,0
4844,http_400,NA,NA,0
4845,http_400,NA,NA,0
4846,http_400,NA,NA,0
4847,http_400,NA,NA,0
4848,http_400,NA,NA,0
4849,http_400,NA,NA,0
4850,http_400,NA,NA,0
4851,no_data,NA,NA,0
4852,http_400,NA,NA,0
4853,http_400,NA,NA,0
4854,no_data,NA,NA,0
4855,http_400,NA,NA,0
4856,http_400,NA,NA,0
4857,no_data,NA,NA,0
4858,http_400,NA,NA,0
4859,http_400,NA,NA,0
4860,http_400,NA,NA,0
4861,http_400,NA,NA,0
4862,http_400,NA,NA,0
4863,http_400,NA,NA,0
4864,http_400,NA,NA,0
4865,http_400,NA,NA,0
4866,http_400,NA,NA,0
4867,http_400,NA,NA,0
4868,http_400,NA,NA,0
4869,http_400,NA,NA,0
4870,http_400,NA,NA,0
4871,http_400,NA,NA,0
4872,http_400,NA,NA,0
4873,http_400,NA,NA,0
4874,http_400,NA,NA,0
4875,http_400,NA,NA,0
4876,http_400,NA,NA,0
4877,http_400,NA,NA,0
4878,http_400,NA,NA,0
4879,http_400,NA,NA,0
4880,http_400,NA,NA,0
4881,http_400,NA,NA,0
4882,http_400,NA,NA,0
4883,http_400,NA,NA,0
4884,http_400,NA,NA,0
4885,http_400,NA,NA,0
4886,http_400,NA,NA,0
4887,http_400,NA,NA,0
4888,http_400,NA,NA,0
4889,http_400,NA,NA,0
4890,http_400,NA,NA,0
4891,http_400,NA,NA,0
4892,http_400,NA,NA,0
4893,http_400,NA,NA,0
4894,http_400,NA,NA,0
4895,http_400,NA,NA,0
4896,http_400,NA,NA,0
4897,http_400,NA,NA,0
4898,http_400,NA,NA,0
4899,http_400,NA,NA,0
4900,http_400,NA,NA,0
4901,http_400,NA,NA,0
4902,http_400,NA,NA,0
4903,http_400,NA,NA,0
4904,http_400,NA,NA,0
4905,http_400,NA,NA,0
4906,http_400,NA,NA,0
4907,http_400,NA,NA,0
4908,http_400,NA,NA,0
4909,http_400,NA,NA,0
4910,http_400,NA,NA,0
4911,http_400,NA,NA,0
4912,http_400,NA,NA,0
4913,http_400,NA,NA,0
4914,http_400,NA,NA,0
4915,http_400,NA,NA,0
4916,http_400,NA,NA,0
4917,http_400,NA,NA,0
4918,http_400,NA,NA,0
4919,no_data,NA,NA,0
4920,no_data,NA,NA,0
4921,no_data,NA,NA,0
4922,no_data,NA,NA,0
4923,no_data,NA,NA,0
4924,no_data,NA,NA,0
4925,no_data,NA,NA,0
4926,no_data,NA,NA,0
4927,no_data,NA,NA,0
4928,no_data,NA,NA,0
4929,no_data,NA,NA,0
4930,no_data,NA,NA,0
4931,no_data,NA,NA,0
4932,no_data,NA,NA,0
4933,no_data,NA,NA,0
4934,no_data,NA,NA,0
4935,no_data,NA,NA,0
4936,http_400,NA,NA,0
4937,http_400,NA,NA,0
4938,http_400,NA,NA,0
4939,http_400,NA,NA,0
4940,http_400,NA,NA,0
4941,http_400,NA,NA,0
4942,http_400,NA,NA,0
4943,http_400,NA,NA,0
4944,no_data,NA,NA,0
4945,no_data,NA,NA,0
4946,no_data,NA,NA,0
4947,no_data,NA,NA,0
4948,no_data,NA,NA,0
4949,no_data,NA,NA,0
4950,no_data,NA,NA,0
4951,no_data,NA,NA,0
4952,no_data,NA,NA,0
4953,no_data,NA,NA,0
4954,no_data,NA,NA,0
4955,no_data,NA,NA,0
4956,http_400,NA,NA,0
4957,http_400,NA,NA,0
4958,http_400,NA,NA,0
4959,http_400,NA,NA,0
4960,http_400,NA,NA,0
4961,http_400,NA,NA,0
4962,http_400,NA,NA,0
4963,http_400,NA,NA,0
4964,http_400,NA,NA,0
4965,http_400,NA,NA,0
4966,http_400,NA,NA,0
4967,http_400,NA,NA,0
4968,http_400,NA,NA,0
4969,http_400,NA,NA,0
4970,http_400,NA,NA,0
4971,http_400,NA,NA,0
4972,http_400,NA,NA,0
4973,http_400,NA,NA,0
4974,http_400,NA,NA,0
4975,http_400,NA,NA,0
4976,http_400,NA,NA,0
4977,http_400,NA,NA,0
4978,http_400,NA,NA,0
4979,http_400,NA,NA,0
4980,http_400,NA,NA,0
4981,http_400,NA,NA,0
4982,http_400,NA,NA,0
4983,http_400,NA,NA,0
4984,http_400,NA,NA,0
4985,http_400,NA,NA,0
4986,http_400,NA,NA,0
4987,http_400,NA,NA,0
4988,http_400,NA,NA,0
4989,http_400,NA,NA,0
4990,http_400,NA,NA,0
4991,http_400,NA,NA,0
4992,http_400,NA,NA,0
4993,http_400,NA,NA,0
4994,http_400,NA,NA,0
4995,http_400,NA,NA,0
4996,http_400,NA,NA,0
4997,http_400,NA,NA,0
4998,http_400,NA,NA,0
4999,http_400,NA,NA,0
5000,http_400,NA,NA,0
5001,http_400,NA,NA,0
5002,http_400,NA,NA,0
5003,http_400,NA,NA,0
5004,http_400,NA,NA,0
5005,http_400,NA,NA,0
5006,http_400,NA,NA,0
5007,http_400,NA,NA,0
5008,http_400,NA,NA,0
5009,http_400,NA,NA,0
5010,http_400,NA,NA,0
5011,http_400,NA,NA,0
5012,http_400,NA,NA,0
5013,http_400,NA,NA,0
5014,http_400,NA,NA,0
5015,http_400,NA,NA,0
5016,http_400,NA,NA,0
5017,http_400,NA,NA,0
5018,http_400,NA,NA,0
5019,http_400,NA,NA,0
5020,http_400,NA,NA,0
5021,http_400,NA,NA,0
5022,http_400,NA,NA,0
5023,http_400,NA,NA,0
5024,http_400,NA,NA,0
5025,http_400,NA,NA,0
5026,http_400,NA,NA,0
5027,http_400,NA,NA,0
5028,http_400,NA,NA,0
5029,http_400,NA,NA,0
5030,http_400,NA,NA,0
5031,no_data,NA,NA,0
5032,no_data,NA,NA,0
5033,no_data,NA,NA,0
5034,no_data,NA,NA,0
5035,no_data,NA,NA,0
5036,no_data,NA,NA,0
5037,no_data,NA,NA,0
5038,no_data,NA,NA,0
5039,http_400,NA,NA,0
5040,http_400,NA,NA,0
5041,no_data,NA,NA,0
5042,no_data,NA,NA,0
5043,http_400,NA,NA,0
5044,http_400,NA,NA,0
5045,http_400,NA,NA,0
5046,http_400,NA,NA,0
5047,http_400,NA,NA,0
5048,http_400,NA,NA,0
5049,no_data,NA,NA,0
5050,no_data,NA,NA,0
5051,no_data,NA,NA,0
5052,no_data,NA,NA,0
5053,http_400,NA,NA,0
5054,http_400,NA,NA,0
5055,http_400,NA,NA,0
5056,http_400,NA,NA,0
5057,http_400,NA,NA,0
5058,http_400,NA,NA,0
5059,http_400,NA,NA,0
5060,http_400,NA,NA,0
5061,http_400,NA,NA,0
5062,http_400,NA,NA,0
5063,http_400,NA,NA,0
5064,http_400,NA,NA,0
5065,http_400,NA,NA,0
5066,http_400,NA,NA,0
5067,http_400,NA,NA,0
5068,http_400,NA,NA,0
5069,http_400,NA,NA,0
5070,http_400,NA,NA,0
5071,http_400,NA,NA,0
5072,http_400,NA,NA,0
5073,http_400,NA,NA,0
5074,http_400,NA,NA,0
5075,http_400,NA,NA,0
5076,http_400,NA,NA,0
5077,http_400,NA,NA,0
